entry,category,subcategory1,subcategory2,distillery,bottle,region,ABV,age,notes,occasion,retired
1,Whiskey,American,Bourbon,Iron Smoke,Casket Strenght,"New York, USA",60.0%,,,Iron Anniversary,
1,Whiskey,American,Bourbon,Old Boudreau's,Old Boudreau's Insanely Small Batch 2019 Release,"Washington, USA",50.0%,12 Years,Sherry & Angostura Bitters Barrel Finished,,
1,Whiskey,American,Bourbon,Old Boudreau's,Old Boudreau's Insanely Small Batch 2020 Release,"Washington, USA",47.5%,12 Years,Sherry & Angostura Bitters Barrel Finished,,
1,Whiskey,American,Bourbon,Rabbit Hole,Heigold,"Kentucky, USA",47.5%,,,,
1,Whiskey,American,Bourbon,Wildwood Spirits Co,The Dark Door,"Washington, USA",45.0%,,,,
1,Whiskey,American,Bourbon,Wollersheim Distillery,Lost Lantern Single Cask,"Wisconsin, USA",65.6%,,,,
1,Whiskey,American,Bourbon,Woodinville Whiskey Co.,Lost Lantern Single Cask No. 8,"Washington, USA",58.5%,,,,
1,Whiskey,American,Hardcore,Bainbridge Organic Distillers,Yama | Mizunara Cask Single Grain Whiskey,"Bainbridge Island, WA",43.0%,,"Aromatic sandalwood, tropical flowers, star anise, joss incense; flavors of nutmeg, clove, pear, marzipan, toasted coconut, yuzu; finishes with fading spice, honey, and oak",Retirement Gift ‘23,
1,Whiskey,American,Hardcore,Michter's,Toasted Barrel Bourbon,"Kentucky, USA",45.7%,,,,
1,Whiskey,American,Other,45th Parellel,Wisconsin Wheat - Woodman's Private Barrell,"Wisconsin, USA",60.0%,,,,
1,Whiskey,American,Other,Bainbridge Organic Distillers,"Battle Point, Two Islands Hokkadio Mizunara Cask","Washington, USA",63.9%,,Full Barrel Proof,,
1,Whiskey,American,Other,Deschutes x Bend Distillery,Black Butte Whiskey,"Oregon, USA",47.0%,5 Years,,,
1,Whiskey,American,Other,FEW,Chicago Smokeworks,"Arizona, USA",46.5%,,Cherrywood Smoked Malt,,
1,Whiskey,American,Other,Iron Smoke,Rattlesnake Rosie's Apple Pie,"New York, USA",35.0%,,,,
1,Whiskey,American,Other,Koval,Oat,"Illinois, USA",40.0%,,,,
1,Whiskey,American,Other,Lost Lantern,Flame,"Vermont, USA",57.0%,,Blend of Sante Fe Spirits and Whiskey Del Bac,,
1,Whiskey,American,Other,Michter's,American No. 1,"Kentucky, USA",41.7%,,,,
1,Whiskey,American,Other,Michter's,Sour Mash,"Kentucky, USA",43.0%,,,,
1,Whiskey,American,Rye,FEW,Immortal Rye,"Illinios, USA",46.5%,,Uses Eight Immortals Tea,,
1,Whiskey,American,Rye,Michter's,Straight Rye,"Kentucky, USA",42.4%,,,,
1,Whiskey,American,Rye,WhistlePig,12 Old World Rye,"Vermont, USA",43.0%,12 Years,"Rich fruit and spice notes, including rye spice, apricots, plums, raisins, dates, honey, dark chocolate, winter fruit, caramel, and vanilla",,
1,Whiskey,American,Rye,Wildwood Spirits Co,Rendition,"Washington, USA",45.0%,5 Years,,,
1,Whiskey,American,Rye,Willett,Small Batch Rye,"Kentucky, USA",55.9%,4 Years,,,
1,Whiskey,Japanese,Hardcore,Suntory,Hibiki 17,Japan,43.0%,17 Years,,,
1,Whiskey,Japanese,,Ichiro's Malt,MWR - Mizunara Wood Reserve,Japan,46.0%,,,Yokohama Trip Dec '24,
1,Whiskey,Japanese,,Ichiro's Malt,Wine Wood Reserve,Japan,46.0%,,,Yokohama Trip Dec '24,
1,Whiskey,Japanese,,Nikka,Yoichi - Peaty & Salty,"Hokkaido, Japan",55.0%,NAS,"Bold peat smoke, briny maritime salinity, toasted oak, subtle sweetness",Aquired in Yokohama 2024,
1,Whiskey,Japanese,,Nikka,Yoichi - Sherry & Sweet,"Hokkaido, Japan",55.0%,NAS,"Rich dried fruit, dark chocolate, nutty sweetness, hints of spice",Aquired in Yokohama 2024,
1,Whiskey,Japanese,,Nikka,Yoichi - Woody & Vanillic,"Hokkaido, Japan",55.0%,NAS,"Soft vanilla on the nose, woody on the palate, hints of bourbon sweetness, cocoa, and malt",Aquired in Yokohama 2024,
1,Whiskey,Japanese,,Suntory,Hakushu,"Yamanashi, Japan",43.0%,,,,
1,Whiskey,Japanese,,Suntory,Hibiki Japanese Harmony,Japan,43.0%,,,,
1,Whiskey,Rest of World,,Jameson,Stout Edition,Ireland,40.0%,,Stout Cask Finish,,
1,Whiskey,Rest of World,,Kavalan,Concertmaster - Port Cask,Taiwan,40.0%,,,,
1,Whiskey,Rest of World,,Kavalan,King Car Conductor,Taiwan,46.0%,,,,
1,Whiskey,Rest of World,,Kavalan,Oloroso Sherry Oak,Taiwan,54.0%,,,,
1,Whiskey,Rest of World,,Kavalan,Port Oak,Taiwan,54.0%,,,,
1,Whiskey,Rest of World,,Odd Society,Bomber Brewing Community Collaboration,"Vancouver, Canada",50.0%,,Double IPA Whiskey,,
1,Whiskey,Rest of World,,Odd Society,Burns Bog,"Vancouver, Canada",46.0%,,Canadian Smoked Malt Whiskey,,
1,Whiskey,Scotch,Blended,Chivas Regal,Mizunara,Scotland,40.0%,12 Years,,,
1,Whiskey,Scotch,Blended,Monkey Shoulder,Monkey Shoulder Batch 27,Scotland,43.0%,,,,
1,Whiskey,Scotch,Islay,Ardbeg,An Oa,Islay,46.6%,,,,
1,Whiskey,Scotch,Islay,Ardbeg,Spectacular,Islay,46.0%,,Port Cask,,
1,Whiskey,Scotch,Islay,Ardbeg,Ten Year,Islay,46.0%,10 Years,,,
1,Whiskey,Scotch,Islay,Ardbeg,Uigeadail,Islay,54.2%,,,,
1,Whiskey,Scotch,Islay,Port Charlotte,Islay Barley Heavily Peated,Islay,50.0%,,,,
1,Whiskey,Scotch,Highland,Kirkland Signature,Highland 12 Year Single Malt,Highland,46.0%,12 Years,,,
1,Whiskey,Scotch,Islay,Kirkland Signature,Islay Single Malt,Islay,46.0%,,,,
1,Whiskey,Scotch,Lowland,Kirkland Signature,Lowland Single Malt,Lowland,46.0%,,,,
1,Whiskey,Scotch,Speyside,Kirkland Signature,Speyside 10 Year Single Malt,Speyside,46.0%,10 Years,,,
